clean,corrupted,group,plural
The paintings the executive,The paintings the executives,ML-obj_rel_no_comp_within_inanim_all,0
The mechanic knew the authors,The mechanic knew the author,ML-sent_comp_all,1
The managers the executive loves,The manager the executive loves,ML-obj_rel_no_comp_across_anim_all,1
The pilot across from the architect,The pilots across from the architect,ML-prep_anim_all,0
The senator in front of the chef,The senators in front of the chef,ML-prep_anim_all,0
The mechanics knew the surgeons,The mechanics knew the surgeon,ML-sent_comp_all,1
The poem that the skaters hate,The poems that the skaters hate,ML-obj_rel_across_inanim_all,0
The mechanics thought the customers,The mechanics thought the customer,ML-sent_comp_all,1
The customer to the side of the parents,The customers to the side of the parents,ML-prep_anim_all,0
The author to the side of the chef,The authors to the side of the chef,ML-prep_anim_all,0
The senators the dancers love,The senator the dancers love,ML-obj_rel_no_comp_across_anim_all,1
The poem that the taxi drivers admire,The poems that the taxi drivers admire,ML-obj_rel_across_inanim_all,0
The authors across from the skater,The author across from the skater,ML-prep_anim_all,1
The paintings the guard admires,The painting the guard admires,ML-obj_rel_no_comp_across_inanim_all,1
The teachers to the side of the skater,The teacher to the side of the skater,ML-prep_anim_all,1
The painting that the guards love,The paintings that the guards love,ML-obj_rel_across_inanim_all,0
The pilot that the ministers hate,The pilots that the ministers hate,ML-obj_rel_across_anim_all,0
The senators that love the chef,The senator that loves the chef,ML-subj_rel_all,1
The surgeon that the executive admires,The surgeons that the executive admires,ML-obj_rel_across_anim_all,0
The officers the dancers,The officers the dancer,ML-obj_rel_no_comp_within_anim_all,1
The managers that love the architects,The manager that loves the architects,ML-subj_rel_all,1
The consultant that hates the skaters,The consultants that hate the skaters,ML-subj_rel_all,0
The managers the architect hates,The manager the architect hates,ML-obj_rel_no_comp_across_anim_all,1
The farmer that hates the parents,The farmers that hate the parents,ML-subj_rel_all,0
The senators the architects like,The senator the architects like,ML-obj_rel_no_comp_across_anim_all,1
The novel the skater admires,The novels the skater admires,ML-obj_rel_no_comp_across_inanim_all,0
The senators that like the parents,The senator that likes the parents,ML-subj_rel_all,1
The poems the chef likes,The poem the chef likes,ML-obj_rel_no_comp_across_inanim_all,1
The farmers the ministers like,The farmer the ministers like,ML-obj_rel_no_comp_across_anim_all,1
The novels by the assistants,The novel by the assistants,ML-prep_inanim_all,1
The pictures from the ministers,The picture from the ministers,ML-prep_inanim_all,1
The pilot to the side of the executive,The pilots to the side of the executive,ML-prep_anim_all,0
The pictures the ministers hate,The picture the ministers hate,ML-obj_rel_no_comp_across_inanim_all,1
The song that the skaters admire,The songs that the skaters admire,ML-obj_rel_across_inanim_all,0
The author in front of the executive,The authors in front of the executive,ML-prep_anim_all,0
The movies the parents like,The movie the parents like,ML-obj_rel_no_comp_across_inanim_all,1
The manager that the executives like,The managers that the executives like,ML-obj_rel_across_anim_all,0
The customers that the parent admires,The customer that the parent admires,ML-obj_rel_across_anim_all,1
The consultant to the side of the architect,The consultants to the side of the architect,ML-prep_anim_all,0
The customers that hate the chef,The customer that hates the chef,ML-subj_rel_all,1
The customers the executive likes,The customer the executive likes,ML-obj_rel_no_comp_across_anim_all,1
The poems the skaters hate,The poem the skaters hate,ML-obj_rel_no_comp_across_inanim_all,1
The teachers near the skater,The teacher near the skater,ML-prep_anim_all,1
The managers the guards admire,The manager the guards admire,ML-obj_rel_no_comp_across_anim_all,1
The officer that the guard hates,The officers that the guard hates,ML-obj_rel_across_anim_all,0
The movie the chef,The movie the chefs,ML-obj_rel_no_comp_within_inanim_all,0
The surgeon that likes the skaters,The surgeons that like the skaters,ML-subj_rel_all,0
The shows that the dancer loves,The show that the dancer loves,ML-obj_rel_across_inanim_all,1
The surgeons that the parent,The surgeons that the parents,ML-obj_rel_within_anim_all,0
The manager that the guards admire,The managers that the guards admire,ML-obj_rel_across_anim_all,0
The novels by the parent,The novel by the parent,ML-prep_inanim_all,1
The bankers knew the pilot,The bankers knew the pilots,ML-sent_comp_all,0
The senators the skater likes,The senator the skater likes,ML-obj_rel_no_comp_across_anim_all,1
The farmer that the architects,The farmer that the architect,ML-obj_rel_within_anim_all,1
The consultants the architect hates,The consultant the architect hates,ML-obj_rel_no_comp_across_anim_all,1
The novels that the chefs,The novels that the chef,ML-obj_rel_within_inanim_all,1
The movies the executives like,The movie the executives like,ML-obj_rel_no_comp_across_inanim_all,1
The farmer across from the parent,The farmers across from the parent,ML-prep_anim_all,0
The games that the assistants like,The game that the assistants like,ML-obj_rel_across_inanim_all,1
The teachers the parents hate,The teacher the parents hate,ML-obj_rel_no_comp_across_anim_all,1
The books the taxi drivers admire,The book the taxi drivers admire,ML-obj_rel_no_comp_across_inanim_all,1
The pilot the guards admire,The pilots the guards admire,ML-obj_rel_no_comp_across_anim_all,0
The managers that the assistants,The managers that the assistant,ML-obj_rel_within_anim_all,1
The consultants that the taxi driver admires,The consultant that the taxi driver admires,ML-obj_rel_across_anim_all,1
The consultant that the executives,The consultant that the executive,ML-obj_rel_within_anim_all,1
The surgeons across from the chefs,The surgeon across from the chefs,ML-prep_anim_all,1
The paintings that the architect,The paintings that the architects,ML-obj_rel_within_inanim_all,0
The author near the assistants,The authors near the assistants,ML-prep_anim_all,0
The game that the assistant,The game that the assistants,ML-obj_rel_within_inanim_all,0
The teachers that the assistants admire,The teacher that the assistants admire,ML-obj_rel_across_anim_all,1
The teachers that the chef,The teachers that the chefs,ML-obj_rel_within_anim_all,0
The painting the executives like,The paintings the executives like,ML-obj_rel_no_comp_across_inanim_all,0
The senators across from the chefs,The senator across from the chefs,ML-prep_anim_all,1
The book from the parent,The books from the parent,ML-prep_inanim_all,0
The poems that the chefs,The poems that the chef,ML-obj_rel_within_inanim_all,1
The consultants to the side of the assistant,The consultant to the side of the assistant,ML-prep_anim_all,1
The officers that the assistants love,The officer that the assistants love,ML-obj_rel_across_anim_all,1
The surgeons that like the dancers,The surgeon that likes the dancers,ML-subj_rel_all,1
The book that the chefs admire,The books that the chefs admire,ML-obj_rel_across_inanim_all,0
The show that the architects love,The shows that the architects love,ML-obj_rel_across_inanim_all,0
The officer the parent hates,The officers the parent hates,ML-obj_rel_no_comp_across_anim_all,0
The authors in front of the ministers,The author in front of the ministers,ML-prep_anim_all,1
The farmer that the parents,The farmer that the parent,ML-obj_rel_within_anim_all,1
The officers the architect likes,The officer the architect likes,ML-obj_rel_no_comp_across_anim_all,1
The officers that the skater admires,The officer that the skater admires,ML-obj_rel_across_anim_all,1
The surgeon the parents,The surgeon the parent,ML-obj_rel_no_comp_within_anim_all,1
The surgeons the minister,The surgeons the ministers,ML-obj_rel_no_comp_within_anim_all,0
The officer that hates the taxi driver,The officers that hate the taxi driver,ML-subj_rel_all,0
The author near the guards,The authors near the guards,ML-prep_anim_all,0
The customer near the executives,The customers near the executives,ML-prep_anim_all,0
The song the dancers love,The songs the dancers love,ML-obj_rel_no_comp_across_inanim_all,0
The farmer that the parent,The farmer that the parents,ML-obj_rel_within_anim_all,0
The songs from the ministers,The song from the ministers,ML-prep_inanim_all,1
The song that the skater likes,The songs that the skater likes,ML-obj_rel_across_inanim_all,0
The customers that like the chef,The customer that likes the chef,ML-subj_rel_all,1
The consultant in front of the assistants,The consultants in front of the assistants,ML-prep_anim_all,0
The author to the side of the ministers,The authors to the side of the ministers,ML-prep_anim_all,0
The movie the architects hate,The movies the architects hate,ML-obj_rel_no_comp_across_inanim_all,0
The shows that the assistant admires,The show that the assistant admires,ML-obj_rel_across_inanim_all,1
The authors the skater admires,The author the skater admires,ML-obj_rel_no_comp_across_anim_all,1
The game that the skaters love,The games that the skaters love,ML-obj_rel_across_inanim_all,0
The managers that hate the guard,The manager that hates the guard,ML-subj_rel_all,1
The consultants the skaters admire,The consultant the skaters admire,ML-obj_rel_no_comp_across_anim_all,1
The managers that the minister loves,The manager that the minister loves,ML-obj_rel_across_anim_all,1
The senators near the architect,The senator near the architect,ML-prep_anim_all,1
The author that loves the skaters,The authors that love the skaters,ML-subj_rel_all,0
The teacher that the architects,The teacher that the architect,ML-obj_rel_within_anim_all,1
The teacher that the assistants admire,The teachers that the assistants admire,ML-obj_rel_across_anim_all,0
The consultants that the assistants love,The consultant that the assistants love,ML-obj_rel_across_anim_all,1
The teacher that the assistant admires,The teachers that the assistant admires,ML-obj_rel_across_anim_all,0
The books the parent hates,The book the parent hates,ML-obj_rel_no_comp_across_inanim_all,1
The officers are twenty three years old and,The officer is twenty three years old and,ML-long_vp_coord_all,1
